CLASS,mAP,mAR,mFAP,mFAR,mAAP,mAAR,ATE,ASE,AOE,AVE,AAE,ADE,FDE,MR,mAP_MR
car,0.8359745799892728,0.9086513329848405,0.8062160014698053,0.8920543648719289,0.8203105562373563,0.8997647673810768,0.1647610743477001,0.16391419345693736,0.10821928802905732,0.06258386186575267,0.03659811932068025,0.1905898350205679,0.23580927401437143,0.004745088010442296,0.7962537824871971
truck,0.7273205999742133,0.8763157894736843,0.7236280881079832,0.8736842105263158,0.724639543121756,0.8744360902255638,0.14341344294575056,0.1421911163014039,0.019831250782225515,0.04460803467476924,0.0,0.15193700041179214,0.16614684956054457,0.0,0.7267788243047291
bus,0.3285875688437339,0.553030303030303,0.30706840042061756,0.5909090909090909,0.2877352221377383,0.5595238095238095,0.20444975210171357,0.12420731136820712,0.4024315849247687,0.5125894858249664,0.9832345679012344,0.9065874355878845,1.8243442272202206,0.0899102733686067,0.21790436549588593
trailer,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
construction_vehicle,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
pedestrian,0.544991657661583,0.8676194939081536,0.49383025720568213,0.831302717900656,0.5273089754661658,0.8533940286517606,0.367934706095157,0.2681742528926972,0.44514058619625774,0.1378945326299868,0.3067664831226911,0.6696123228637567,2.2308656271660436,0.06163081318452115,0.39710273030775445
motorcycle,0.6430036997994608,0.8481308411214953,0.6527788777139696,0.8539719626168224,0.6514655932032832,0.8536381842456611,0.19970586657532197,0.26986292276506646,0.2584884029430181,0.049885046436211396,0.01759484081875787,0.19820828408111069,0.2202065230739805,0.0,0.622944076472611
bicycle,0.09834192624222932,0.625,0.09834192624222932,0.625,0.0979834259717945,0.6140873015873016,0.22032059299675905,0.2160252236435142,0.828692113209666,0.044851285155585216,0.0,0.21324688156545932,0.2094005015166413,0.0,0.09770290098256977
traffic_cone,0.1663451114785544,0.6357142857142857,0.1663451114785544,0.6357142857142857,0.1663451114785544,0.6357142857142858,0.0822446391500305,0.3388115014573983,,,,0.07719075760308709,0.07470385359310612,0.0,0.1616978620214151
barrier,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,1.0,1.0,1.0,0.0
